iter	Passed	Remaining
887	2562	323
888	2564	320
889	2567	317
890	2569	314
891	2572	311
892	2574	308
893	2577	305
894	2579	302
895	2581	299
896	2584	296
897	2587	293
898	2589	290
899	2592	288
900	2595	285
901	2597	282
902	2600	279
903	2602	276
904	2605	273
905	2608	270
906	2610	267
907	2614	264
908	2617	262
909	2620	259
910	2623	256
911	2625	253
912	2628	250
913	2631	247
914	2634	244
915	2637	241
916	2639	238
917	2643	236
918	2646	233
919	2649	230
920	2652	227
921	2655	224
922	2658	221
923	2661	218
924	2664	216
925	2666	213
926	2669	210
927	2672	207
928	2675	204
929	2679	201
930	2681	198
931	2684	195
932	2687	193
933	2690	190
934	2694	187
935	2697	184
936	2700	181
937	2703	178
938	2706	175
939	2709	172
940	2712	170
941	2715	167
942	2718	164
943	2721	161
944	2724	158
945	2727	155
946	2730	152
947	2732	149
948	2735	147
949	2738	144
950	2741	141
951	2744	138
952	2747	135
953	2751	132
954	2754	129
955	2758	126
956	2760	124
957	2763	121
958	2766	118
959	2769	115
960	2772	112
961	2775	109
962	2778	106
963	2781	103
964	2784	100
965	2786	98
966	2790	95
967	2792	92
968	2796	89
969	2798	86
970	2801	83
971	2804	80
972	2807	77
973	2810	75
974	2813	72
975	2816	69
976	2819	66
977	2823	63
978	2826	60
979	2829	57
980	2831	54
981	2834	51
982	2837	49
983	2840	46
984	2843	43
985	2846	40
986	2849	37
987	2852	34
988	2856	31
989	2859	28
990	2862	25
991	2865	23
992	2868	20
993	2871	17
994	2874	14
995	2877	11
996	2880	8
997	2883	5
998	2885	2
999	2889	0
